Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index
3,5040,29500,2,510,1230,0,0,0,0,1,32,58,33,13.4
3,7880,32100,1,368,863,0,0,0,0,1,32,58,23,13.4
3,11200,36100,0,120,293,0,0,0,0,1,32,53,15,13.4
3,13900,3600,1,296,5070,17,0,0,0,1,32,60,35,13.4
3,12200,36300,2,452,6050,0,0,0,0,1,32,55,52,13.4
3,4070,34800,7,761,2570,0,0,0,0,1,32,55,12,13.4
3,45100,31200,5,568,2160,3,2,0,0,1,32,54,11,13.4
3,3710,25100,6,610,2070,0,0,0,0,1,32,54,9,13.4
3,7951,50923,11,319,3716,10,5,0,0,0.13,42,57,3,13.4
3,220,54300,2,24,246,0,153,0,0,1.52,33,48,12,13.4
3,9730,42000,10,532,1320,21,4,0,5,0.84,48,46,4,13.4
3,5810,31900,9,369,1050,18,3,0,1,1.12,47,55,4,13.4
3,11200,57300,3,483,1230,0,0,0,1,0.33,42,57,4,13.4
3,15700,59900,1,103,555,0,0,0,0,0.43,45,43,8,13.4
2,15700,51300,4,358,2770,2,0,0,5,0.57,46,42,4,13.4
2,16072,46688,1,70,435,0,0,0,0,0.15,44,51,6,13.4
2,12704,33134,2,32,801,3,3,0,1,0.39,44,63,5,13.4
0,23500,50600,0,29,347,0,0,0,0,0.6,44,45,10,13.4
0,302,51300,4,25,1510,3,292,0,0,1,32,49,33,13.4
0,20600,46500,2,152,823,8,2,0,0,1,32,49,33,13.4
0,15115,48813,2,97,915,6,1,0,0,1.45,33,49,14,13.4
0,19100,58400,0,72,629,0,0,0,0,1,38,53,13,13.4
0,18600,44400,0,67,511,3,0,0,0,3.47,43,56,19,13.4
0,21900,46200,0,46,520,3,0,0,0,1.1,41,36,16,13.4
0,21300,46200,0,51,658,0,0,0,0,0.75,37,41,9,13.4
0,16443,43308,1,10,348,0,0,0,0,0.83,41,73,5,13.4
0,20000,54700,3,117,699,0,0,0,0,0.05,34,51,2,13.4
0,16600,49300,3,105,624,0,0,0,0,0.47,32,55,4,13.4
0,17000,55600,4,182,1100,0,0,0,0,0.58,34,57,5,13.4
0,21200,60000,5,123,767,0,0,0,0,0.54,32,50,4,13.4
0,25600,47100,0,25,467,0,0,0,0,0.33,44,54,3,13.4
0,789,20300,6,280,502,0,0,0,0,0.31,46,51,3,13.4
0,21500,45600,6,197,2070,34,15,0,4,0.13,44,55,3,13.4
0,23100,48600,0,202,2220,6,0,0,6,0.06,45,54,3,13.4
0,16100,38600,0,251,5620,21,0,0,0,1,45,56,44,13.4
0,14700,36500,2,284,3820,0,0,0,0,1,45,57,42,13.4
0,9444,35331,3,358,5507,6,0,0,0,1,45,75,75,13.4
0,27300,65600,0,56,202,0,0,0,0,1,43,48,3,13.4
0,1230,10500,2,113,326,0,0,0,0,1,45,56,5,13.4
0,4330,11200,0,81,192,0,0,0,0,1,57,57,4,13.4
0,19900,43300,0,114,782,0,0,0,4,1.33,40,54,6,13.4
0,25800,57100,0,49,427,0,0,0,0,0.07,45,49,11,13.4
0,22800,46800,0,66,914,0,0,0,0,1,41,51,4,13.4
0,23200,45800,0,40,620,0,0,0,0,0.76,46,52,5,13.4
0,24100,49300,0,84,779,6,0,0,0,1.69,36,47,7,13.4
0,24300,50200,0,54,738,0,0,0,0,1.75,44,55,4,13.4
0,448,38900,2,24,482,0,99,0,0,4.39,31,53,12,13.4
0,22800,44600,0,36,585,0,0,0,0,1,31,51,34,13.4
0,16000,48000,2,426,1360,0,0,0,5,0.6,48,54,4,13.4
0,23900,45900,0,49,466,0,0,0,5,0.29,45,53,4,13.4
0,20300,62500,0,78,190,0,0,0,0,1,45,56,5,13.4
0,19500,54800,0,73,196,0,0,0,0,1,46,56,4,13.4
0,18400,51700,0,61,304,0,0,0,0,1,43,50,6,13.4
18,154,42800,5,127,711,3,91,0,0,1,32,53,7,13.4
11,15600,45000,3,309,2240,0,3,0,147,0.5,39,53,3,13.4
11,1760,56800,2,41,594,3,49,0,0,1,31,60,27,13.4
11,1770,48600,0,30,593,0,60,0,0,3.97,31,58,29,13.4
11,1780,56900,2,29,867,0,54,0,0,2.78,31,50,27,13.4
11,265,50800,2,54,1050,0,63,0,0,1,30,50,16,13.4
11,15700,41700,0,62,649,0,0,0,0,1,33,44,16,13.4
11,222,41000,2,35,309,0,211,0,0,2.53,33,58,30,13.4
17,262,47400,2,46,1050,4,97,0,0,1,33,57,26,13.4
17,645,49600,6,87,599,5,211,0,0,4.46,33,56,19,13.4
17,259,53300,2,31,561,0,56,0,0,2.9,32,54,19,13.4
17,233,53500,2,40,1230,3,64,0,0,4.18,34,59,42,13.4
17,232,48600,2,47,796,0,116,0,0,2.15,30,50,23,13.4
17,564,14600,5,320,2450,0,0,0,1,1.07,45,52,6,13.4
16,1050,51600,15,122,12000,0,21,0,0,0.23,43,47,5,13.4
16,2020,56600,6,138,663,0,138,0,0,1,33,58,12,13.4
16,2270,65400,0,35,604,0,53,0,0,1.83,33,52,22,13.4
16,2030,53800,4,44,709,17,183,0,0,1,33,55,22,13.4
12,151,48200,2,34,569,4,48,0,0,1,31,58,20,13.4
12,1840,61900,2,36,1560,3,72,0,0,4.5,31,55,36,13.4
12,285,52500,2,35,895,0,51,0,0,3.22,33,54,37,13.4
12,465,52700,2,52,918,0,84,0,0,3.83,33,55,24,13.4
12,2150,11100,2,170,1440,0,0,0,1,0.73,45,54,6,13.4
15,227,52900,3,60,853,3,84,0,0,1,32,56,28,13.4
15,334,47100,3,64,622,3,108,0,0,1,32,55,12,13.4
15,1280,35000,2,675,2530,0,0,0,5,0.3,45,58,8,13.4
15,169,50600,5,77,532,0,72,0,0,1.21,33,54,11,13.4
15,308,39700,3,64,581,5,27,0,0,1,32,60,18,13.4
